Company,Ticker,Industry
3M Company,MMM,Industrials
American Express Company,AXP,Financials
Apple Inc.,AAPL,Information Technology
The Boeing Company,BA,Industrials
Caterpillar Inc.,CAT,Industrials
Chevron Corporation,CVX,Energy
"Cisco Systems, Inc.",CSCO,Information Technology
The Coca-Cola Company,KO,Consumer Staples
DowDuPont Inc.ʠ,DD,Materials
Exxon Mobil Corporation,XOM,Energy
General Electric Company,GE,Industrials
"The Goldman Sachs Group, Inc.",GS,Financials
"The Home Depot, Inc.",HD,Consumer Discretionary
Intel Corporation,INTC,Information Technology
International Business Machines Corporation,IBM,Information Technology
Johnson & Johnson,JNJ,Health Care
JPMorgan Chase & Co.,JPM,Financials
McDonald's Corporation,MCD,Consumer Discretionary
"Merck & Co., Inc.",MRK,Health Care
Microsoft Corporation,MSFT,Information Technology
"Nike, Inc.",NKE,Consumer Discretionary
Pfizer Inc.,PFE,Health Care
The Procter & Gamble Company,PG,Consumer Staples
"The Travelers Companies, Inc.",TRV,Financials
UnitedHealth Group Inc.,UNH,Health Care
United Technologies Corporation,UTX,Industrials
Verizon Communications Inc.,VZ,Communication Services
Visa Inc.,V,Information Technology
"Wal-Mart Stores, Inc.",WMT,Consumer Staples
The Walt Disney Company,DIS,Communication Services
AT&T Inc.,T,Communication Services
Alcoa Inc.,AA,Materials
Bank of America Corporation,BAC,Financials
Hewlett-Packard Company,HPQ,Information Technology
Kraft Foods Inc.,KRFT,Consumer Staples
Citigroup Inc.,C,Financials
General Motors Corporation,GM,Consumer Cyclical
American International Group Inc.,AIG,Financials
Altria Group Incorporated,MO,Consumer Discretionary
Honeywell International Inc.,HON,Industrials
SBC Communications Inc. ,SBC,Communication Services
Eastman Kodak Company,KODK,Industrials
International Paper Company,IP,Consumer Cyclical
AlliedSignal Incorporated,ALD,Industrials
Exxon Corporation,XON,Energy
Sears Roebuck & Copany,S,Consumer Cyclical
Union Carbide Corporation,UK,Materials
Goodyear Tire and Rubber Company,GT,Consumer Cyclical
Bethlehem Steel Corporation,BSC,Materials
Westinghouse Electric Corporation,WX,Industrials
Venator (F L Woolworth Company) (possibly Z),FL,Consumer Cyclical
Texaco Incorporated,TX,Energy
American Can Company,USC,Materials
Navistar International Corporation,NAV,Industrials
USX corporation,USX,Materials
American Tobacco Company B shares,BTI,Consumer Discretionary
General Foods Corporation,GIS,Consumer Staples
Inco United,N,Materials
Owens-Illinois Inc,OI,Consumer Cyclical
Johns-Mannville Corporation,JM,Industrials
Chrysler Corporation,C,Consumer Cyclical
Esmark Corporation,ESMK,Consumer Staples
Anaconda Copper Mining Company,A,Materials
